zip,scope,key,n,min_us,median_us,p95_us,max_us,visible,fast_layer,kind,image_format,pixel_area,drawn_area,rotated,color_filtered,dyn_bound,text_length,parse_ms,apply_ms,res_count,res_bytes,svg_count
# default, 450x450, 30 reps, seconds pref true
steampunk+seconds,view,hour_hand,30,-206,4460,8164,8842,true,true,image,bitmap,14400,18225,true,false,false,0,0,356,15,733995,0
steampunk+seconds,view,minute_hand,30,-1286,4101,8219,9155,true,true,image,bitmap,14400,18225,true,false,false,0,0,356,15,733995,0
steampunk+seconds,view,second_hand,30,-2557,2981,6527,6936,true,true,image,bitmap,14400,18225,true,false,false,0,0,356,15,733995,0
steampunk+seconds,view,iob2,30,-69706,1465,31699,47314,true,false,text,other,0,5490,true,false,false,4,0,356,15,733995,0
steampunk+seconds,view,cob2,30,-14298,1287,29572,36325,true,false,text,other,0,5490,true,false,false,2,0,356,15,733995,0
steampunk+seconds,view,freetext2,30,-75810,1045,28673,53647,true,false,text,other,0,96100,true,false,true,0,0,356,15,733995,0
steampunk+seconds,view,basalRate,30,-5010,456,5074,20953,true,false,text,other,0,5832,false,false,false,8,0,356,15,733995,0
steampunk+seconds,view,timestamp,30,-8009,413,3566,40665,true,true,text,other,0,2025,true,false,false,2,0,356,15,733995,0
steampunk+seconds,view,uploader_battery,30,-135659,308,5302,77646,true,false,text,other,0,2077,false,false,true,3,0,356,15,733995,0
steampunk+seconds,view,sgv,30,-6212,247,4072,5149,true,true,text,other,0,78750,false,false,false,2,0,356,15,733995,0
steampunk+seconds,view,freetext4,30,-11548,85,14135,24517,true,false,text,other,0,96100,true,false,true,0,0,356,15,733995,0
steampunk+seconds,view,loop,30,-4963,-207,9046,41910,true,true,text,other,0,2025,true,false,true,2,0,356,15,733995,0
# aimico, 450x450, 30 reps, seconds pref true
aimico,frame,-,420,16048,17289,38572,105608,,,,,,,,,,0,739,12,396863,11
aimico,refresh,-,30,30781,32349,34447,35834,,,,,,,,,,0,739,12,396863,11
aimico,sum_of_views,-,1,13617,13617,13617,13617,,,,,,,,,,0,739,12,396863,11
aimico,fast_layer,-,1,12565,12565,12565,12565,,,,,,,,,,0,739,12,396863,11
aimico,view,cover_plate,30,5852,8851,36744,55954,true,true,image,picture,0,202500,false,false,false,0,0,739,12,396863,11
aimico,view,direction,30,-47951,2405,8260,11632,true,true,image,picture,0,202500,false,false,false,0,0,739,12,396863,11
aimico,view,background,30,-1597,1073,9710,18256,true,false,background,other,0,202500,false,false,false,0,0,739,12,396863,11
aimico,view,loop,30,-99458,340,35541,54677,true,true,text,other,0,3136,false,false,false,2,0,739,12,396863,11
aimico,view,sgv,30,-695,305,3334,10434,true,true,text,other,0,15120,false,false,false,3,0,739,12,396863,11
aimico,view,month,30,-47618,302,28449,44883,true,true,text,other,0,3840,false,false,false,4,0,739,12,396863,11
aimico,view,time,30,-28512,207,17934,42976,true,true,text,other,0,30150,false,false,false,5,0,739,12,396863,11
aimico,view,day,30,-50580,193,20642,26338,true,true,text,other,0,2520,false,false,false,2,0,739,12,396863,11
aimico,view,cob2,30,-82164,128,1357,5009,true,false,text,other,0,4144,false,false,false,3,0,739,12,396863,11
aimico,view,iob2,30,-14962,57,10885,30627,true,false,text,other,0,4144,false,false,false,5,0,739,12,396863,11
aimico,view,delta,30,-9407,19,2923,33459,true,false,text,other,0,2479,false,false,false,2,0,739,12,396863,11
aimico,view,timestamp,30,-78210,-38,1105,2416,true,true,text,other,0,2204,false,false,false,2,0,739,12,396863,11
aimico,view,basalRate,30,-90247,-63,11427,23748,true,false,text,other,0,4032,false,false,false,8,0,739,12,396863,11
aimico,view,uploader_battery,30,-94194,-162,1128,2701,true,false,text,other,0,2479,false,false,false,3,0,739,12,396863,11
# analog_gwatch, 450x450, 30 reps, seconds pref true
analog_gwatch,frame,-,630,86284,93130,105144,142067,,,,,,,,,,0,396,4,133354,3
analog_gwatch,refresh,-,30,31823,33146,76478,125538,,,,,,,,,,0,396,4,133354,3
analog_gwatch,sum_of_views,-,1,87519,87519,87519,87519,,,,,,,,,,0,396,4,133354,3
analog_gwatch,fast_layer,-,1,71182,71182,71182,71182,,,,,,,,,,0,396,4,133354,3
analog_gwatch,view,second_hand,30,22378,30664,42020,49694,true,true,image,other,0,202500,true,true,false,0,0,396,4,133354,3
analog_gwatch,view,hour_hand,30,5603,20558,26159,37640,true,true,image,other,0,202500,true,false,false,0,0,396,4,133354,3
analog_gwatch,view,minute_hand,30,7141,18353,30287,41003,true,true,image,other,0,202500,true,false,false,0,0,396,4,133354,3
analog_gwatch,view,cover_chart,30,-8691,7351,11456,13401,true,false,image,picture,0,202500,false,false,false,0,0,396,4,133354,3
analog_gwatch,view,chart,30,-31751,5847,16754,27177,true,false,other,other,0,34200,false,false,false,0,0,396,4,133354,3
analog_gwatch,view,background,30,-3431,3047,25147,50311,true,false,background,other,0,202500,false,false,false,0,0,396,4,133354,3
analog_gwatch,view,timestamp,30,-21589,1835,10919,15974,true,true,text,other,0,3136,false,false,false,2,0,396,4,133354,3
analog_gwatch,view,iob1,30,-6747,533,13717,24941,true,false,text,picture,0,729,false,false,true,2,0,396,4,133354,3
